"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.15Fixed4.6","0.15Fixed6.4","0.15Fixed8.2","0.15Tracking4.6","0.15Tracking6.4","0.15Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.35Fixed4.6","0.35Fixed6.4","0.35Fixed8.2","0.35Tracking4.6","0.35Tracking6.4","0.35Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.55Fixed4.6","0.55Fixed6.4","0.55Fixed8.2","0.55Tracking4.6","0.55Tracking6.4","0.55Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.65Fixed4.6","0.65Fixed6.4","0.65Fixed8.2","0.65Tracking4.6","0.65Tracking6.4","0.65Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","0.95Fixed4.6","0.95Fixed6.4","0.95Fixed8.2","0.95Tracking4.6","0.95Tracking6.4","0.95Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.0330.0Northern",-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-6500.21,-6843.75,-7486.21,-6485.38,-6737.46,-6989.53,-7231.97,-7919.05,-9203.99,-7203.93,-7708.08,-8212.24,-7963.78,-8994.4,-10921.8,-7919.62,-8675.85,-9432.09,-7963.78,-8994.4,-10921.8,-7919.62,-8675.85,-9432.09,-8696.35,-10070.51,-12640.38,-8636.77,-9645.09,-10653.4,-9428.33,-11146.04,-14358.37,-9353.97,-10614.36,-11874.76,-10160.83,-12222.08,-16076.87,-10071.71,-11584.18,-13096.66,-10160.83,-12222.08,-16076.87,-10071.71,-11584.18,-13096.66,-10892.85,-13297.64,-17794.9,-10788.9,-12553.46,-14318.01,-11624.84,-14373.17,-19512.9,-11506.13,-13522.76,-15539.39,-12356.82,-15448.69,-21230.89,-12223.36,-14492.07,-16760.78,-12356.82,-15448.69,-21230.89,-12223.36,-14492.07,-16760.78,-13088.85,-16524.26,-22948.92,-12940.56,-15461.35,-17982.13,-13820.83,-17599.78,-24666.91,-13657.79,-16430.65,-19203.52,-14552.86,-18675.35,-26384.94,-14374.98,-17399.93,-20424.87,-14552.86,-18675.35,-26384.94,-14374.98,-17399.93,-20424.87,-15284.84,-19750.87,-28102.94,-15092.21,-18369.24,-21646.26,-16016.86,-20826.44,-29820.97,-15809.44,-19338.54,-22867.65,-16748.89,-21902,-31539,-16526.67,-20307.85,-24089.03
"0.0430.0Northern",-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-6117.43,-6460.97,-7103.43,-6047.35,-6299.43,-6551.5,-6466.44,-7153.52,-8438.46,-6328.34,-6832.49,-7336.65,-6815.51,-7846.13,-9773.53,-6605.69,-7361.92,-8118.16,-6815.51,-7846.13,-9773.53,-6605.69,-7361.92,-8118.16,-7165.55,-8539.71,-11109.58,-6884.9,-7893.22,-8901.53,-7514.84,-9232.55,-12444.88,-7164.17,-8424.56,-9684.96,-7864.79,-9926.04,-13780.83,-7444.13,-8956.6,-10469.08,-7864.79,-9926.04,-13780.83,-7444.13,-8956.6,-10469.08,-8214.13,-10618.92,-15116.18,-7723.39,-9487.95,-11252.5,-8563.43,-11311.76,-16451.49,-8002.7,-10019.33,-12035.96,-8912.72,-12004.59,-17786.79,-8282.01,-10550.72,-12819.43,-8912.72,-12004.59,-17786.79,-8282.01,-10550.72,-12819.43,-9262.07,-12697.48,-19122.14,-8561.28,-11082.07,-13602.85,-9611.36,-13390.31,-20457.44,-8840.59,-11613.45,-14386.32,-9960.71,-14083.2,-21792.79,-9119.85,-12144.8,-15169.74,-9960.71,-14083.2,-21792.79,-9119.85,-12144.8,-15169.74,-10310,-14776.03,-23128.1,-9399.16,-12676.19,-15953.21,-10659.34,-15468.92,-24463.45,-9678.47,-13207.57,-16736.68,-11008.69,-16161.8,-25798.8,-9957.78,-13738.96,-17520.14
"0.0530.0Northern",-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5768.55,-5734.65,-6078.19,-6720.65,-5609.32,-5861.4,-6113.47,-5700.91,-6387.99,-7672.93,-5452.75,-5956.9,-6461.06,-5667.24,-6697.86,-8625.26,-5291.76,-6047.99,-6804.23,-5667.24,-6697.86,-8625.26,-5291.76,-6047.99,-6804.23,-5634.75,-7008.91,-9578.78,-5133.03,-6141.35,-7149.66,-5601.35,-7319.06,-10531.39,-4974.37,-6234.76,-7495.16,-5568.75,-7630,-11484.79,-4816.55,-6329.02,-7841.5,-5568.75,-7630,-11484.79,-4816.55,-6329.02,-7841.5,-5535.41,-7940.2,-12437.46,-4657.88,-6422.44,-8186.99,-5502.02,-8250.35,-13390.08,-4499.27,-6515.9,-8532.53,-5468.62,-8560.49,-14342.69,-4340.66,-6609.37,-8878.08,-5468.62,-8560.49,-14342.69,-4340.66,-6609.37,-8878.08,-5435.29,-8870.7,-15295.36,-4182,-6702.79,-9223.57,-5401.89,-9180.84,-16247.97,-4023.39,-6796.25,-9569.12,-5368.56,-9491.05,-17200.64,-3864.72,-6889.67,-9914.61,-5368.56,-9491.05,-17200.64,-3864.72,-6889.67,-9914.61,-5335.16,-9801.19,-18153.26,-3706.11,-6983.14,-10260.16,-5301.82,-10111.4,-19105.93,-3547.5,-7076.6,-10605.71,-5268.49,-10421.6,-20058.6,-3388.89,-7170.07,-10951.25
"0.0340.0Northern",-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-9575.21,-9918.75,-10561.21,-9560.38,-9812.46,-10064.53,-10306.97,-10994.05,-12278.99,-10278.93,-10783.08,-11287.24,-11038.78,-12069.4,-13996.8,-10994.62,-11750.85,-12507.09,-11038.78,-12069.4,-13996.8,-10994.62,-11750.85,-12507.09,-11771.35,-13145.51,-15715.38,-11711.77,-12720.09,-13728.4,-12503.33,-14221.04,-17433.37,-12428.97,-13689.36,-14949.76,-13235.83,-15297.08,-19151.87,-13146.71,-14659.18,-16171.66,-13235.83,-15297.08,-19151.87,-13146.71,-14659.18,-16171.66,-13967.85,-16372.64,-20869.9,-13863.9,-15628.46,-17393.01,-14699.84,-17448.17,-22587.9,-14581.13,-16597.76,-18614.39,-15431.82,-18523.69,-24305.89,-15298.36,-17567.07,-19835.78,-15431.82,-18523.69,-24305.89,-15298.36,-17567.07,-19835.78,-16163.85,-19599.26,-26023.92,-16015.56,-18536.35,-21057.13,-16895.83,-20674.78,-27741.91,-16732.79,-19505.65,-22278.52,-17627.86,-21750.35,-29459.94,-17449.98,-20474.93,-23499.87,-17627.86,-21750.35,-29459.94,-17449.98,-20474.93,-23499.87,-18359.84,-22825.87,-31177.94,-18167.21,-21444.24,-24721.26,-19091.86,-23901.44,-32895.97,-18884.44,-22413.54,-25942.65,-19823.89,-24977,-34614,-19601.67,-23382.85,-27164.03
"0.0440.0Northern",-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-9192.43,-9535.97,-10178.43,-9122.35,-9374.43,-9626.5,-9541.44,-10228.52,-11513.46,-9403.34,-9907.49,-10411.65,-9890.51,-10921.13,-12848.53,-9680.69,-10436.92,-11193.16,-9890.51,-10921.13,-12848.53,-9680.69,-10436.92,-11193.16,-10240.55,-11614.71,-14184.58,-9959.9,-10968.22,-11976.53,-10589.84,-12307.55,-15519.88,-10239.17,-11499.56,-12759.96,-10939.79,-13001.04,-16855.83,-10519.13,-12031.6,-13544.08,-10939.79,-13001.04,-16855.83,-10519.13,-12031.6,-13544.08,-11289.13,-13693.92,-18191.18,-10798.39,-12562.95,-14327.5,-11638.43,-14386.76,-19526.49,-11077.7,-13094.33,-15110.96,-11987.72,-15079.59,-20861.79,-11357.01,-13625.72,-15894.43,-11987.72,-15079.59,-20861.79,-11357.01,-13625.72,-15894.43,-12337.07,-15772.48,-22197.14,-11636.28,-14157.07,-16677.85,-12686.36,-16465.31,-23532.44,-11915.59,-14688.45,-17461.32,-13035.71,-17158.2,-24867.79,-12194.85,-15219.8,-18244.74,-13035.71,-17158.2,-24867.79,-12194.85,-15219.8,-18244.74,-13385,-17851.03,-26203.1,-12474.16,-15751.19,-19028.21,-13734.34,-18543.92,-27538.45,-12753.47,-16282.57,-19811.68,-14083.69,-19236.8,-28873.8,-13032.78,-16813.96,-20595.14
"0.0540.0Northern",-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8843.55,-8809.65,-9153.19,-9795.65,-8684.32,-8936.4,-9188.47,-8775.91,-9462.99,-10747.93,-8527.75,-9031.9,-9536.06,-8742.24,-9772.86,-11700.26,-8366.76,-9122.99,-9879.23,-8742.24,-9772.86,-11700.26,-8366.76,-9122.99,-9879.23,-8709.75,-10083.91,-12653.78,-8208.03,-9216.35,-10224.66,-8676.35,-10394.06,-13606.39,-8049.37,-9309.76,-10570.16,-8643.75,-10705,-14559.79,-7891.55,-9404.02,-10916.5,-8643.75,-10705,-14559.79,-7891.55,-9404.02,-10916.5,-8610.41,-11015.2,-15512.46,-7732.88,-9497.44,-11261.99,-8577.02,-11325.35,-16465.08,-7574.27,-9590.9,-11607.53,-8543.62,-11635.49,-17417.69,-7415.66,-9684.37,-11953.08,-8543.62,-11635.49,-17417.69,-7415.66,-9684.37,-11953.08,-8510.29,-11945.7,-18370.36,-7257,-9777.79,-12298.57,-8476.89,-12255.84,-19322.97,-7098.39,-9871.25,-12644.12,-8443.56,-12566.05,-20275.64,-6939.72,-9964.67,-12989.61,-8443.56,-12566.05,-20275.64,-6939.72,-9964.67,-12989.61,-8410.16,-12876.19,-21228.26,-6781.11,-10058.14,-13335.16,-8376.82,-13186.4,-22180.93,-6622.5,-10151.6,-13680.71,-8343.49,-13496.6,-23133.6,-6463.89,-10245.07,-14026.25
"0.0350.0Northern",-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-12650.21,-12993.75,-13636.21,-12635.38,-12887.46,-13139.53,-13381.97,-14069.05,-15353.99,-13353.93,-13858.08,-14362.24,-14113.78,-15144.4,-17071.8,-14069.62,-14825.85,-15582.09,-14113.78,-15144.4,-17071.8,-14069.62,-14825.85,-15582.09,-14846.35,-16220.51,-18790.38,-14786.77,-15795.09,-16803.4,-15578.33,-17296.04,-20508.37,-15503.97,-16764.36,-18024.76,-16310.83,-18372.08,-22226.87,-16221.71,-17734.18,-19246.66,-16310.83,-18372.08,-22226.87,-16221.71,-17734.18,-19246.66,-17042.85,-19447.64,-23944.9,-16938.9,-18703.46,-20468.01,-17774.84,-20523.17,-25662.9,-17656.13,-19672.76,-21689.39,-18506.82,-21598.69,-27380.89,-18373.36,-20642.07,-22910.78,-18506.82,-21598.69,-27380.89,-18373.36,-20642.07,-22910.78,-19238.85,-22674.26,-29098.92,-19090.56,-21611.35,-24132.13,-19970.83,-23749.78,-30816.91,-19807.79,-22580.65,-25353.52,-20702.86,-24825.35,-32534.94,-20524.98,-23549.93,-26574.87,-20702.86,-24825.35,-32534.94,-20524.98,-23549.93,-26574.87,-21434.84,-25900.87,-34252.94,-21242.21,-24519.24,-27796.26,-22166.86,-26976.44,-35970.97,-21959.44,-25488.54,-29017.65,-22898.89,-28052,-37689,-22676.67,-26457.85,-30239.03
"0.0450.0Northern",-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-12267.43,-12610.97,-13253.43,-12197.35,-12449.43,-12701.5,-12616.44,-13303.52,-14588.46,-12478.34,-12982.49,-13486.65,-12965.51,-13996.13,-15923.53,-12755.69,-13511.92,-14268.16,-12965.51,-13996.13,-15923.53,-12755.69,-13511.92,-14268.16,-13315.55,-14689.71,-17259.58,-13034.9,-14043.22,-15051.53,-13664.84,-15382.55,-18594.88,-13314.17,-14574.56,-15834.96,-14014.79,-16076.04,-19930.83,-13594.13,-15106.6,-16619.08,-14014.79,-16076.04,-19930.83,-13594.13,-15106.6,-16619.08,-14364.13,-16768.92,-21266.18,-13873.39,-15637.95,-17402.5,-14713.43,-17461.76,-22601.49,-14152.7,-16169.33,-18185.96,-15062.72,-18154.59,-23936.79,-14432.01,-16700.72,-18969.43,-15062.72,-18154.59,-23936.79,-14432.01,-16700.72,-18969.43,-15412.07,-18847.48,-25272.14,-14711.28,-17232.07,-19752.85,-15761.36,-19540.31,-26607.44,-14990.59,-17763.45,-20536.32,-16110.71,-20233.2,-27942.79,-15269.85,-18294.8,-21319.74,-16110.71,-20233.2,-27942.79,-15269.85,-18294.8,-21319.74,-16460,-20926.03,-29278.1,-15549.16,-18826.19,-22103.21,-16809.34,-21618.92,-30613.45,-15828.47,-19357.57,-22886.68,-17158.69,-22311.8,-31948.8,-16107.78,-19888.96,-23670.14
"0.0550.0Northern",-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11918.55,-11884.65,-12228.19,-12870.65,-11759.32,-12011.4,-12263.47,-11850.91,-12537.99,-13822.93,-11602.75,-12106.9,-12611.06,-11817.24,-12847.86,-14775.26,-11441.76,-12197.99,-12954.23,-11817.24,-12847.86,-14775.26,-11441.76,-12197.99,-12954.23,-11784.75,-13158.91,-15728.78,-11283.03,-12291.35,-13299.66,-11751.35,-13469.06,-16681.39,-11124.37,-12384.76,-13645.16,-11718.75,-13780,-17634.79,-10966.55,-12479.02,-13991.5,-11718.75,-13780,-17634.79,-10966.55,-12479.02,-13991.5,-11685.41,-14090.2,-18587.46,-10807.88,-12572.44,-14336.99,-11652.02,-14400.35,-19540.08,-10649.27,-12665.9,-14682.53,-11618.62,-14710.49,-20492.69,-10490.66,-12759.37,-15028.08,-11618.62,-14710.49,-20492.69,-10490.66,-12759.37,-15028.08,-11585.29,-15020.7,-21445.36,-10332,-12852.79,-15373.57,-11551.89,-15330.84,-22397.97,-10173.39,-12946.25,-15719.12,-11518.56,-15641.05,-23350.64,-10014.72,-13039.67,-16064.61,-11518.56,-15641.05,-23350.64,-10014.72,-13039.67,-16064.61,-11485.16,-15951.19,-24303.26,-9856.11,-13133.14,-16410.16,-11451.82,-16261.4,-25255.93,-9697.5,-13226.6,-16755.71,-11418.49,-16571.6,-26208.6,-9538.89,-13320.07,-17101.25
"0.0360.0Northern",-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-15725.21,-16068.75,-16711.21,-15710.38,-15962.46,-16214.53,-16456.97,-17144.05,-18428.99,-16428.93,-16933.08,-17437.24,-17188.78,-18219.4,-20146.8,-17144.62,-17900.85,-18657.09,-17188.78,-18219.4,-20146.8,-17144.62,-17900.85,-18657.09,-17921.35,-19295.51,-21865.38,-17861.77,-18870.09,-19878.4,-18653.33,-20371.04,-23583.37,-18578.97,-19839.36,-21099.76,-19385.83,-21447.08,-25301.87,-19296.71,-20809.18,-22321.66,-19385.83,-21447.08,-25301.87,-19296.71,-20809.18,-22321.66,-20117.85,-22522.64,-27019.9,-20013.9,-21778.46,-23543.01,-20849.84,-23598.17,-28737.9,-20731.13,-22747.76,-24764.39,-21581.82,-24673.69,-30455.89,-21448.36,-23717.07,-25985.78,-21581.82,-24673.69,-30455.89,-21448.36,-23717.07,-25985.78,-22313.85,-25749.26,-32173.92,-22165.56,-24686.35,-27207.13,-23045.83,-26824.78,-33891.91,-22882.79,-25655.65,-28428.52,-23777.86,-27900.35,-35609.94,-23599.98,-26624.93,-29649.87,-23777.86,-27900.35,-35609.94,-23599.98,-26624.93,-29649.87,-24509.84,-28975.87,-37327.94,-24317.21,-27594.24,-30871.26,-25241.86,-30051.44,-39045.97,-25034.44,-28563.54,-32092.65,-25973.89,-31127,-40764,-25751.67,-29532.85,-33314.03
"0.0460.0Northern",-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-15342.43,-15685.97,-16328.43,-15272.35,-15524.43,-15776.5,-15691.44,-16378.52,-17663.46,-15553.34,-16057.49,-16561.65,-16040.51,-17071.13,-18998.53,-15830.69,-16586.92,-17343.16,-16040.51,-17071.13,-18998.53,-15830.69,-16586.92,-17343.16,-16390.55,-17764.71,-20334.58,-16109.9,-17118.22,-18126.53,-16739.84,-18457.55,-21669.88,-16389.17,-17649.56,-18909.96,-17089.79,-19151.04,-23005.83,-16669.13,-18181.6,-19694.08,-17089.79,-19151.04,-23005.83,-16669.13,-18181.6,-19694.08,-17439.13,-19843.92,-24341.18,-16948.39,-18712.95,-20477.5,-17788.43,-20536.76,-25676.49,-17227.7,-19244.33,-21260.96,-18137.72,-21229.59,-27011.79,-17507.01,-19775.72,-22044.43,-18137.72,-21229.59,-27011.79,-17507.01,-19775.72,-22044.43,-18487.07,-21922.48,-28347.14,-17786.28,-20307.07,-22827.85,-18836.36,-22615.31,-29682.44,-18065.59,-20838.45,-23611.32,-19185.71,-23308.2,-31017.79,-18344.85,-21369.8,-24394.74,-19185.71,-23308.2,-31017.79,-18344.85,-21369.8,-24394.74,-19535,-24001.03,-32353.1,-18624.16,-21901.19,-25178.21,-19884.34,-24693.92,-33688.45,-18903.47,-22432.57,-25961.68,-20233.69,-25386.8,-35023.8,-19182.78,-22963.96,-26745.14
"0.0560.0Northern",-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14993.55,-14959.65,-15303.19,-15945.65,-14834.32,-15086.4,-15338.47,-14925.91,-15612.99,-16897.93,-14677.75,-15181.9,-15686.06,-14892.24,-15922.86,-17850.26,-14516.76,-15272.99,-16029.23,-14892.24,-15922.86,-17850.26,-14516.76,-15272.99,-16029.23,-14859.75,-16233.91,-18803.78,-14358.03,-15366.35,-16374.66,-14826.35,-16544.06,-19756.39,-14199.37,-15459.76,-16720.16,-14793.75,-16855,-20709.79,-14041.55,-15554.02,-17066.5,-14793.75,-16855,-20709.79,-14041.55,-15554.02,-17066.5,-14760.41,-17165.2,-21662.46,-13882.88,-15647.44,-17411.99,-14727.02,-17475.35,-22615.08,-13724.27,-15740.9,-17757.53,-14693.62,-17785.49,-23567.69,-13565.66,-15834.37,-18103.08,-14693.62,-17785.49,-23567.69,-13565.66,-15834.37,-18103.08,-14660.29,-18095.7,-24520.36,-13407,-15927.79,-18448.57,-14626.89,-18405.84,-25472.97,-13248.39,-16021.25,-18794.12,-14593.56,-18716.05,-26425.64,-13089.72,-16114.67,-19139.61,-14593.56,-18716.05,-26425.64,-13089.72,-16114.67,-19139.61,-14560.16,-19026.19,-27378.26,-12931.11,-16208.14,-19485.16,-14526.82,-19336.4,-28330.93,-12772.5,-16301.6,-19830.71,-14493.49,-19646.6,-29283.6,-12613.89,-16395.07,-20176.25
"0.0370.0Northern",-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18800.21,-19143.75,-19786.21,-18785.38,-19037.46,-19289.53,-19531.97,-20219.05,-21503.99,-19503.93,-20008.08,-20512.24,-20263.78,-21294.4,-23221.8,-20219.62,-20975.85,-21732.09,-20263.78,-21294.4,-23221.8,-20219.62,-20975.85,-21732.09,-20996.35,-22370.51,-24940.38,-20936.77,-21945.09,-22953.4,-21728.33,-23446.04,-26658.37,-21653.97,-22914.36,-24174.76,-22460.83,-24522.08,-28376.87,-22371.71,-23884.18,-25396.66,-22460.83,-24522.08,-28376.87,-22371.71,-23884.18,-25396.66,-23192.85,-25597.64,-30094.9,-23088.9,-24853.46,-26618.01,-23924.84,-26673.17,-31812.9,-23806.13,-25822.76,-27839.39,-24656.82,-27748.69,-33530.89,-24523.36,-26792.07,-29060.78,-24656.82,-27748.69,-33530.89,-24523.36,-26792.07,-29060.78,-25388.85,-28824.26,-35248.92,-25240.56,-27761.35,-30282.13,-26120.83,-29899.78,-36966.91,-25957.79,-28730.65,-31503.52,-26852.86,-30975.35,-38684.94,-26674.98,-29699.93,-32724.87,-26852.86,-30975.35,-38684.94,-26674.98,-29699.93,-32724.87,-27584.84,-32050.87,-40402.94,-27392.21,-30669.24,-33946.26,-28316.86,-33126.44,-42120.97,-28109.44,-31638.54,-35167.65,-29048.89,-34202,-43839,-28826.67,-32607.85,-36389.03
"0.0470.0Northern",-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18417.43,-18760.97,-19403.43,-18347.35,-18599.43,-18851.5,-18766.44,-19453.52,-20738.46,-18628.34,-19132.49,-19636.65,-19115.51,-20146.13,-22073.53,-18905.69,-19661.92,-20418.16,-19115.51,-20146.13,-22073.53,-18905.69,-19661.92,-20418.16,-19465.55,-20839.71,-23409.58,-19184.9,-20193.22,-21201.53,-19814.84,-21532.55,-24744.88,-19464.17,-20724.56,-21984.96,-20164.79,-22226.04,-26080.83,-19744.13,-21256.6,-22769.08,-20164.79,-22226.04,-26080.83,-19744.13,-21256.6,-22769.08,-20514.13,-22918.92,-27416.18,-20023.39,-21787.95,-23552.5,-20863.43,-23611.76,-28751.49,-20302.7,-22319.33,-24335.96,-21212.72,-24304.59,-30086.79,-20582.01,-22850.72,-25119.43,-21212.72,-24304.59,-30086.79,-20582.01,-22850.72,-25119.43,-21562.07,-24997.48,-31422.14,-20861.28,-23382.07,-25902.85,-21911.36,-25690.31,-32757.44,-21140.59,-23913.45,-26686.32,-22260.71,-26383.2,-34092.79,-21419.85,-24444.8,-27469.74,-22260.71,-26383.2,-34092.79,-21419.85,-24444.8,-27469.74,-22610,-27076.03,-35428.1,-21699.16,-24976.19,-28253.21,-22959.34,-27768.92,-36763.45,-21978.47,-25507.57,-29036.68,-23308.69,-28461.8,-38098.8,-22257.78,-26038.96,-29820.14
"0.0570.0Northern",-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18068.55,-18034.65,-18378.19,-19020.65,-17909.32,-18161.4,-18413.47,-18000.91,-18687.99,-19972.93,-17752.75,-18256.9,-18761.06,-17967.24,-18997.86,-20925.26,-17591.76,-18347.99,-19104.23,-17967.24,-18997.86,-20925.26,-17591.76,-18347.99,-19104.23,-17934.75,-19308.91,-21878.78,-17433.03,-18441.35,-19449.66,-17901.35,-19619.06,-22831.39,-17274.37,-18534.76,-19795.16,-17868.75,-19930,-23784.79,-17116.55,-18629.02,-20141.5,-17868.75,-19930,-23784.79,-17116.55,-18629.02,-20141.5,-17835.41,-20240.2,-24737.46,-16957.88,-18722.44,-20486.99,-17802.02,-20550.35,-25690.08,-16799.27,-18815.9,-20832.53,-17768.62,-20860.49,-26642.69,-16640.66,-18909.37,-21178.08,-17768.62,-20860.49,-26642.69,-16640.66,-18909.37,-21178.08,-17735.29,-21170.7,-27595.36,-16482,-19002.79,-21523.57,-17701.89,-21480.84,-28547.97,-16323.39,-19096.25,-21869.12,-17668.56,-21791.05,-29500.64,-16164.72,-19189.67,-22214.61,-17668.56,-21791.05,-29500.64,-16164.72,-19189.67,-22214.61,-17635.16,-22101.19,-30453.26,-16006.11,-19283.14,-22560.16,-17601.82,-22411.4,-31405.93,-15847.5,-19376.6,-22905.71,-17568.49,-22721.6,-32358.6,-15688.89,-19470.07,-23251.25
"0.0380.0Northern",-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21143.55,-21875.21,-22218.75,-22861.21,-21860.38,-22112.46,-22364.53,-22606.97,-23294.05,-24578.99,-22578.93,-23083.08,-23587.24,-23338.78,-24369.4,-26296.8,-23294.62,-24050.85,-24807.09,-23338.78,-24369.4,-26296.8,-23294.62,-24050.85,-24807.09,-24071.35,-25445.51,-28015.38,-24011.77,-25020.09,-26028.4,-24803.33,-26521.04,-29733.37,-24728.97,-25989.36,-27249.76,-25535.83,-27597.08,-31451.87,-25446.71,-26959.18,-28471.66,-25535.83,-27597.08,-31451.87,-25446.71,-26959.18,-28471.66,-26267.85,-28672.64,-33169.9,-26163.9,-27928.46,-29693.01,-26999.84,-29748.17,-34887.9,-26881.13,-28897.76,-30914.39,-27731.82,-30823.69,-36605.89,-27598.36,-29867.07,-32135.78,-27731.82,-30823.69,-36605.89,-27598.36,-29867.07,-32135.78,-28463.85,-31899.26,-38323.92,-28315.56,-30836.35,-33357.13,-29195.83,-32974.78,-40041.91,-29032.79,-31805.65,-34578.52,-29927.86,-34050.35,-41759.94,-29749.98,-32774.93,-35799.87,-29927.86,-34050.35,-41759.94,-29749.98,-32774.93,-35799.87,-30659.84,-35125.87,-43477.94,-30467.21,-33744.24,-37021.26,-31391.86,-36201.44,-45195.97,-31184.44,-34713.54,-38242.65,-32123.89,-37277,-46914,-31901.67,-35682.85,-39464.03
