"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.0217Northern",NA,NA,NA,NA,NA,NA,1496,1496,1496,1360,1496,1496,1496,1496,1768,1360,1496,1496,1496,1632,1904,1360,1496,1632,1496,1632,1904,1360,1496,1632,1496,1632,1904,1360,1496,1632,1496,1632,1904,1360,1496,1632,1496,1632,2040,1360,1496,1632
"0.0317Northern",NA,NA,NA,NA,NA,NA,1360,1360,1496,1360,1360,1360,1224,1360,1496,1088,1224,1224,1088,1224,1496,952,1088,1224,1088,1224,1496,952,1088,1224,1088,1224,1496,952,1088,1224,1088,1224,1496,952,1088,1224,952,1224,1632,816,952,1088
"0.0417Northern",NA,NA,NA,NA,NA,NA,1224,1224,1360,1224,1224,1224,952,1088,1224,952,952,1088,680,952,1224,544,680,816,680,816,1088,544,680,816,680,816,1088,544,680,816,544,816,1088,408,544,680,544,680,1088,272,408,544
"0.0220Northern",NA,NA,NA,NA,NA,NA,1496,1496,1496,1360,1496,1496,1496,1496,1632,1360,1496,1496,1496,1496,1768,1360,1496,1632,1496,1632,1768,1360,1496,1632,1496,1632,1768,1360,1496,1632,1496,1632,1904,1360,1496,1632,1496,1632,1904,1360,1496,1632
"0.0320Northern",NA,NA,NA,NA,NA,NA,1360,1360,1496,1360,1360,1360,1224,1360,1496,1224,1224,1360,1224,1224,1496,1088,1224,1224,1088,1224,1496,1088,1088,1224,1088,1224,1496,1088,1088,1224,1088,1224,1496,952,1088,1224,1088,1224,1496,952,1088,1224
"0.0420Northern",NA,NA,NA,NA,NA,NA,1224,1360,1360,1224,1224,1360,1088,1088,1360,952,1088,1088,816,952,1224,816,816,952,816,952,1224,680,816,952,816,952,1224,680,816,952,816,952,1224,680,680,816,680,816,1088,544,680,816
"0.0223Northern",NA,NA,NA,NA,NA,NA,1496,1496,1496,1360,1496,1496,1496,1496,1632,1360,1496,1496,1496,1496,1768,1360,1496,1496,1496,1496,1768,1360,1496,1632,1496,1496,1768,1360,1496,1632,1496,1496,1768,1360,1496,1632,1496,1632,1904,1360,1496,1632
"0.0323Northern",NA,NA,NA,NA,NA,NA,1360,1360,1496,1360,1360,1360,1224,1360,1496,1224,1224,1360,1224,1360,1496,1088,1224,1224,1224,1360,1496,1088,1224,1224,1224,1360,1496,1088,1224,1224,1224,1224,1496,1088,1224,1224,1088,1224,1496,1088,1088,1224
"0.0423Northern",NA,NA,NA,NA,NA,NA,1360,1360,1360,1224,1360,1360,1088,1224,1360,1088,1088,1224,952,1088,1224,816,952,952,952,1088,1224,816,952,952,952,1088,1224,816,952,952,816,952,1224,816,816,952,816,952,1224,680,816,816
"0.0217Central",NA,NA,NA,NA,NA,NA,1360,1496,1496,1360,1496,1496,1360,1496,1632,1360,1496,1496,1360,1496,1904,1360,1496,1632,1360,1632,1904,1360,1496,1632,1360,1632,1904,1360,1496,1632,1360,1632,1904,1360,1496,1632,1360,1632,2040,1360,1496,1632
"0.0317Central",NA,NA,NA,NA,NA,NA,1360,1360,1496,1224,1360,1360,1224,1224,1496,1088,1224,1224,1088,1224,1496,952,1088,1088,952,1224,1496,816,952,1088,952,1224,1496,816,952,1088,952,1088,1496,816,952,1088,952,1088,1496,680,816,1088
"0.0417Central",NA,NA,NA,NA,NA,NA,1224,1224,1360,1224,1224,1224,952,1088,1224,816,952,952,680,816,1088,544,544,680,544,816,1088,408,544,680,544,816,1088,408,544,680,544,680,1088,272,408,544,408,544,952,136,272,408
"0.0220Central",NA,NA,NA,NA,NA,NA,1360,1496,1496,1360,1496,1496,1360,1496,1632,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1632,1904,1360,1496,1632
"0.0320Central",NA,NA,NA,NA,NA,NA,1360,1360,1496,1360,1360,1360,1224,1360,1496,1224,1224,1224,1088,1224,1496,952,1088,1224,1088,1224,1496,952,1088,1224,1088,1224,1496,952,1088,1224,1088,1224,1496,952,1088,1224,952,1224,1496,816,952,1088
"0.0420Central",NA,NA,NA,NA,NA,NA,1224,1360,1360,1224,1224,1224,1088,1088,1224,952,952,1088,816,952,1224,680,816,816,816,952,1224,544,680,816,816,952,1224,544,680,816,680,816,1088,544,680,816,544,816,1088,408,544,680
"0.0223Central",NA,NA,NA,NA,NA,NA,1360,1496,1496,1360,1496,1496,1360,1496,1632,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1496,1768,1360,1496,1496,1360,1496,1768,1360,1496,1496
"0.0323Central",NA,NA,NA,NA,NA,NA,1360,1360,1496,1360,1360,1360,1224,1360,1496,1224,1224,1360,1224,1224,1496,1088,1224,1224,1088,1224,1496,1088,1088,1224,1088,1224,1496,1088,1088,1224,1088,1224,1496,1088,1088,1224,1088,1224,1496,952,1088,1224
"0.0423Central",NA,NA,NA,NA,NA,NA,1224,1360,1360,1224,1224,1360,1088,1224,1360,1088,1088,1088,952,1088,1224,816,816,952,816,952,1224,680,816,952,816,952,1224,680,816,952,816,952,1224,680,816,816,680,952,1088,544,680,816
